3017 Tyler NE,1
2222 6th St NE,1
3915 E 26TH St,2
3226 25th St E,2
2401 Marshall St NE,3
720 6th Ave SE,3
3330 James Ave N,4
3645 Newton Ave N,4
3106 Logan Ave No,5
1615 VINCENT Ave,5
1414 E Franklin,6
2300 24th Ave S,6
3166 Dean Ct,7
510 S 8th St,7
3508 Harriet Ave S,8
3133 Garfield,8
3505 Portland Ave,9
3325 16th Ave S,9
2524 Harriet Ave S,10
2412 1st Ave S,10
5115 Woodlawn Blvd,11
5566 Pillsbury Ave So,11
3808 E 45TH St,12
4106 SNELLING Ave,12
5305 Ewing Ave S,13
1914 W 49th St,13
4629 Columbus Ave S,NA
6408 Xerxex Ave S,NA
